Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;EvaporacaoPiche;TempCompMedia;UmidadeRelativaMedia;VelocidadeVentoMedia
83377;18/11/2019;0000;;24.8;;0.7;;20.44;85.75;2.05776;
83377;18/11/2019;1200;98.5;;17.7;;;;;;
83377;19/11/2019;0000;;28.1;;3.7;;21.7;86;0.34296;
83377;19/11/2019;1200;4.2;;18.9;;;;;;
83377;20/11/2019;0000;;26.6;;2.3;;20.12;83.25;1.37184;
83377;20/11/2019;1200;2.9;;18.4;;;;;;
83377;21/11/2019;0000;;26.5;;3.2;;20.26;79.5;3.08664;
83377;21/11/2019;1200;14.3;;16.5;;;;;;
83377;22/11/2019;0000;;27.4;;2.4;;20.72;79.5;1.37184;
83377;22/11/2019;1200;10.5;;18.3;;;;;;
83377;23/11/2019;0000;;26.9;;2.8;;21.76;78;1.37184;
83377;23/11/2019;1200;2.6;;18.4;;;;;;
83377;24/11/2019;0000;;28.2;;1.7;;21.76;85;0.34296;
83377;24/11/2019;1200;30.6;;18.5;;;;;;
83377;25/11/2019;0000;;26.9;;4;;21.66;85.5;0.34296;
83377;25/11/2019;1200;0.8;;17.7;;;;;;
83377;26/11/2019;0000;;27.5;;8.1;;22.78;73;2.05776;
83377;26/11/2019;1200;30.8;;18.4;;;;;;
83377;27/11/2019;0000;;27.1;;3.1;;22.36;81.25;3.08664;
83377;27/11/2019;1200;7.8;;19.9;;;;;;
83377;28/11/2019;0000;;26.8;;4.4;;22.78;79.5;3.77256;
83377;28/11/2019;1200;0;;20.4;;;;;;
83377;29/11/2019;0000;;29.9;;8.7;;23.1;70.75;2.74368;
83377;29/11/2019;1200;0.2;;18.5;;;;;;
83377;30/11/2019;0000;;26.9;;1;;21.98;90.5;0;
83377;30/11/2019;1200;0.3;;20.5;;;;;;
83377;01/12/2019;0000;;28.9;;4;;22.98;70.25;0.34296;
83377;01/12/2019;1200;2.8;;19;;;;;;
83377;02/12/2019;0000;;28.5;;4.1;;23.28;68.5;2.05776;
83377;02/12/2019;1200;1.6;;19.6;;;;;;
83377;03/12/2019;0000;;26.6;;2;;22.06;87.5;2.05776;
83377;03/12/2019;1200;0;;20.1;;;;;;
83377;04/12/2019;0000;;29.3;;2.4;;22.58;89.25;0.68592;
83377;04/12/2019;1200;17.7;;19;;;;;;
83377;05/12/2019;0000;;28.9;;5.6;;22.58;76;1.7148;
83377;05/12/2019;1200;8.7;;19.3;;;;;;
83377;06/12/2019;0000;;29;;3.4;;22.04;83;1.02888;
83377;06/12/2019;1200;16.8;;19.4;;;;;;
83377;07/12/2019;0000;;25.5;;0.4;;21.7;85.75;2.40072;
83377;07/12/2019;1200;63.5;;19;;;;;;
83377;08/12/2019;0000;;27.4;;2.1;;21.78;86.5;0.68592;
83377;08/12/2019;1200;0.1;;18.8;;;;;;
83377;09/12/2019;0000;;29.5;;6.7;;22.58;76;1.37184;
83377;09/12/2019;1200;11.2;;19.3;;;;;;
83377;10/12/2019;0000;;27.1;;3.7;;21.5;85.25;1.02888;
83377;10/12/2019;1200;31;;18.9;;;;;;
83377;11/12/2019;0000;;26.5;;5.9;;22.42;76;1.37184;
83377;11/12/2019;1200;26.1;;19;;;;;;
83377;12/12/2019;0000;;28.6;;5.4;;23.2;73.25;1.02888;
83377;12/12/2019;1200;0;;18.9;;;;;;
83377;13/12/2019;0000;;28.6;;7.9;;22.28;74.75;1.37184;
83377;13/12/2019;1200;0;;19.9;;;;;;
83377;14/12/2019;0000;;28.7;;6.6;;23.36;66.25;3.77256;
83377;14/12/2019;1200;30.9;;18.2;;;;;;
83377;15/12/2019;0000;;28.8;;11.1;;23.78;61.25;3.77256;
83377;15/12/2019;1200;0;;19.5;;;;;;
83377;16/12/2019;0000;;29.4;;11.4;;24.1;54.5;3.4296;
83377;16/12/2019;1200;0;;19.5;;;;;;
83377;17/12/2019;0000;;29.7;;7.9;;23.34;54;2.40072;
83377;17/12/2019;1200;0;;16.9;;;;;;
83377;18/12/2019;0000;;29;;7.3;;22.76;74.25;2.5722;
83377;18/12/2019;1200;0;;17.7;;;;;;
83377;19/12/2019;0000;;25.5;;2.4;;21.36;80.75;1.37184;
83377;19/12/2019;1200;23.3;;18.9;;;;;;
83377;20/12/2019;0000;;28.5;;7.4;;22.76;74.75;3.4296;
83377;20/12/2019;1200;0.7;;19;;;;;;
83377;21/12/2019;0000;;29.3;;6.5;;23.54;65.25;0.68592;
83377;21/12/2019;1200;0;;19.8;;;;;;
83377;22/12/2019;0000;;30.2;;6.1;;24.04;66.75;2.05776;
83377;22/12/2019;1200;0;;19.5;;;;;;
83377;23/12/2019;0000;;29.3;;5.2;;22.2;72.75;1.7148;
83377;23/12/2019;1200;0;;18.9;;;;;;
83377;24/12/2019;0000;;25.8;;4.1;;21.02;80.75;0;
83377;24/12/2019;1200;14.1;;17.1;;;;;;
83377;25/12/2019;0000;;26.9;;4.3;;22.08;71;1.37184;
83377;25/12/2019;1200;1.8;;18.5;;;;;;
83377;26/12/2019;0000;;28.3;;3.8;;22.72;76.5;1.02888;
83377;26/12/2019;1200;0;;19.6;;;;;;
83377;27/12/2019;0000;;29;;11.5;;24.02;63.25;3.4296;
83377;27/12/2019;1200;0;;20.1;;;;;;
83377;28/12/2019;0000;;29.5;;10.9;;24.14;55.75;4.11552;
83377;28/12/2019;1200;0;;19.3;;;;;;
83377;29/12/2019;0000;;30.3;;10.8;;24.48;53.5;1.7148;
83377;29/12/2019;1200;0;;19.1;;;;;;
83377;30/12/2019;0000;;29;;7.1;;23.7;62;2.05776;
83377;30/12/2019;1200;0;;20;;;;;;
83377;31/12/2019;0000;;27;;3.1;;22.3;85.25;0.68592;
83377;31/12/2019;1200;0;;19.6;;;;;;
